id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30170751,12854,17302,3,2158,8748,1,49,98,31,1.0,1.0,2,20,20,52.37623,4.87703,7,0,2,1.0,1.0,1.0,25,180.0,3,1125,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
30170896,9343,6387,0,1404,1294,1,49,62,28,2.0,2.0,2,21,21,52.34852,4.84741,7,0,6,1.5,3.0,3.0,17,300.0,3,15,0,0,0,0,0,5,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2,0,0,0.23
30175743,3851,3969,1,2747,2298,2,2,71,79,2.0,2.0,0,8,8,52.348620000000004,4.89065,27,2,2,1.0,1.0,1.0,1,99.0,1,1125,0,0,0,0,0,5,0,0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1,0,1,0,0.22
30177012,2211,2626,0,2751,8748,1,49,98,49,1.0,1.0,2,7,7,52.368359999999996,4.85726,27,2,1,1.0,1.0,1.0,10,66.0,1,60,0,0,0,0,0,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.04
30177899,3550,17003,0,2750,6217,4,2,2,79,1.0,1.0,2,21,21,52.35653,4.85115,7,0,2,1.0,1.0,1.0,24,100.0,1,14,0,0,0,0,0,18,5,1,87.0,9.0,8.0,9.0,10.0,9.0,8.0,1,1,0,0,0.88
30178747,18158,6357,0,806,7010,1,49,98,30,2.0,2.0,2,17,17,52.36457,4.9256400000000005,27,2,2,1.0,1.0,1.0,12,100.0,2,1125,0,0,0,0,0,0,0,0,,,,,,,,1,0,1,0,
30179344,13854,13573,4,2751,8748,1,49,44,27,1.0,1.0,0,4,4,52.361779999999996,4.89567,7,0,2,1.0,1.0,1.0,18,175.0,5,24,0,0,0,0,0,5,2,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.38
30190722,7668,15801,0,1007,2386,1,49,98,79,1.0,1.0,0,5,5,52.38277,4.88281,7,0,4,1.0,2.0,2.0,11,200.0,3,1125,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
30197129,9922,12655,0,723,7517,1,49,58,51,1.0,1.0,2,18,18,52.36136,4.83901,7,0,2,1.5,1.0,1.0,15,100.0,1,7,0,0,0,0,0,7,4,0,94.0,10.0,10.0,9.0,10.0,9.0,9.0,1,1,0,0,0.5
30198099,1331,18290,0,2752,8748,1,49,98,59,1.0,1.0,0,10,10,52.382690000000004,4.81769,27,2,1,1.0,1.0,1.0,11,20.0,50,51,0,0,0,0,0,0,0,0,,,,,,,,1,0,1,0,
30198278,60,16943,0,805,2315,1,49,0,44,1.0,1.0,2,11,11,52.3588,4.99029,7,0,3,1.0,1.0,1.0,29,120.0,1,1125,0,0,0,24,24,9,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.4
30200793,546,6661,8,1344,8748,1,49,80,31,0.0,0.0,2,5,5,52.36607,4.8816,7,0,4,1.5,2.0,3.0,39,110.0,4,1125,0,0,0,0,0,15,3,0,95.0,9.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.68
30201213,6198,4441,0,1167,8748,1,49,98,79,1.0,1.0,0,21,21,52.347159999999995,4.855630000000001,7,0,4,1.0,2.0,2.0,11,75.0,1,1125,0,0,0,0,0,11,0,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.49
30201545,12166,16647,0,1419,8748,1,49,98,79,2.0,2.0,0,17,17,52.35519,4.9109300000000005,27,2,2,1.0,1.0,1.0,11,70.0,2,6,0,0,0,0,0,25,0,0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1,0,1,0,1.12
30202932,7962,8479,0,2752,6088,4,2,2,49,1.0,1.0,2,7,7,52.36681,4.8596699999999995,27,2,2,1.0,1.0,2.0,21,75.0,2,7,0,26,52,78,253,91,25,0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,4.01
30202960,2975,10455,0,1082,2674,3,39,79,60,2.0,2.0,2,18,18,52.361090000000004,4.82463,41,2,2,1.0,1.0,1.0,16,50.0,2,8,0,0,0,0,0,16,6,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,2,0,2,0,0.7
30203105,5453,4607,1,497,2295,1,49,98,79,1.0,1.0,2,7,7,52.36288,4.861330000000001,7,0,3,1.0,1.0,2.0,11,130.0,2,1125,0,0,0,0,0,21,0,0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.91
30203187,13636,2342,0,1761,8748,1,49,90,49,1.0,1.0,0,7,7,52.367090000000005,4.86521,7,0,2,1.0,1.0,1.0,12,100.0,2,30,0,0,0,0,0,15,8,0,96.0,9.0,9.0,10.0,10.0,10.0,8.0,1,1,0,0,0.71
30203215,13407,12474,0,2321,812,1,49,2,49,1.0,1.0,0,7,7,52.37209,4.8583,7,0,2,1.0,,1.0,14,40.0,20,31,0,0,0,0,0,3,1,0,100.0,9.0,9.0,9.0,10.0,10.0,9.0,1,1,0,0,0.14
