id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8917258,521,3991,0,434,830,2,46,13,40,23.0,23.0,2,16,16,22.3056,114.17181000000001,5,0,6,2.0,4.0,6.0,23,1000.0,28,1125,0,29,59,89,364,5,0,0,88.0,9.0,8.0,9.0,9.0,10.0,8.0,15,1,8,6,0.11
8929487,6201,5032,0,223,653,4,1,54,138,4.0,4.0,2,16,16,22.316999999999997,114.17061000000001,23,2,2,1.0,1.0,1.0,9,271.0,1,1125,0,30,60,90,365,36,0,0,91.0,9.0,9.0,9.0,9.0,10.0,9.0,3,0,3,0,0.61
8946730,5479,3127,0,524,890,4,1,65,40,8.0,8.0,2,16,16,22.30663,114.171,23,2,2,1.0,1.0,1.0,11,414.0,1,1125,0,30,60,90,90,128,2,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,8,2,6,0,2.18
8958059,2910,136,0,75,665,3,1,58,124,11.0,11.0,2,16,16,22.29877,114.17563,53,1,8,1.0,1.0,8.0,12,155.0,1,1125,0,0,23,30,32,28,0,0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,15,0,6,7,0.48
8975844,310,1620,0,173,6,4,1,28,99,4.0,4.0,2,0,0,22.28481,114.15149,23,2,2,1.0,2.0,3.0,13,1772.0,20,1125,0,30,60,90,365,47,0,0,92.0,9.0,10.0,10.0,10.0,10.0,9.0,2,1,1,0,0.77
8999410,3214,1517,0,272,866,4,1,1,89,7.0,7.0,2,16,16,22.31279,114.17101000000001,7,0,10,2.0,4.0,5.0,38,928.0,1,365,0,15,45,75,235,71,0,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,3,3,0,0,1.22
9000447,126,1529,0,524,890,4,1,65,40,8.0,8.0,2,16,16,22.304920000000003,114.17128999999998,23,2,2,1.0,1.0,1.0,10,374.0,1,1125,0,30,60,90,90,236,3,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,8,2,6,0,3.97
9012533,5480,2722,0,555,890,4,1,65,138,14.0,14.0,0,2,2,22.21118,114.02843999999999,34,2,2,1.0,1.0,1.0,6,450.0,1,1125,0,0,0,0,0,23,1,0,80.0,9.0,9.0,9.0,9.0,9.0,8.0,10,0,10,0,0.41
9013023,5481,2721,0,555,890,4,1,65,138,14.0,14.0,0,2,2,22.21346,114.02953000000001,34,2,2,1.0,1.0,1.0,6,500.0,1,1125,0,0,0,0,54,59,1,0,82.0,9.0,8.0,9.0,9.0,9.0,8.0,10,0,10,0,0.97
9033899,5041,1447,0,570,881,3,1,67,138,1.0,1.0,2,0,0,22.28195,114.12173,23,2,1,1.0,1.0,1.0,9,488.0,2,1125,0,29,59,89,364,19,0,0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0,1,0,0.31
9050879,3172,1740,0,309,176,3,1,1,129,4.0,4.0,2,3,3,22.32605,114.18163,5,0,2,1.0,1.0,1.0,16,871.0,30,365,0,0,0,22,297,2,0,0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,4,4,0,0,0.03
9051544,5947,1625,0,571,890,1,56,67,40,3.0,3.0,2,16,16,22.303179999999998,114.17228999999999,23,2,3,1.5,1.0,2.0,11,324.0,1,1125,0,30,60,90,365,9,0,0,86.0,8.0,9.0,9.0,9.0,10.0,9.0,3,0,3,0,0.15
9056827,1315,688,0,571,890,1,56,67,40,3.0,3.0,2,16,16,22.30451,114.17353,23,2,4,0.5,1.0,4.0,9,432.0,1,1125,0,30,60,90,365,4,0,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,3,0,3,0,0.08
9057035,1316,688,0,571,890,1,56,67,40,3.0,3.0,2,16,16,22.30397,114.17213000000001,23,2,4,0.5,1.0,4.0,10,474.0,1,1125,0,30,60,90,365,0,0,0,,,,,,,,3,0,3,0,
9071743,4964,5213,0,555,890,4,1,65,138,14.0,14.0,0,2,2,22.21107,114.02926000000001,34,2,2,1.0,1.0,1.0,6,450.0,1,1125,0,0,0,0,0,59,1,0,82.0,9.0,8.0,9.0,9.0,9.0,9.0,10,0,10,0,0.97
9079180,5482,2260,0,555,890,4,1,65,138,14.0,14.0,0,2,2,22.213160000000002,114.02816999999999,34,2,2,1.0,1.0,1.0,6,426.0,1,1125,0,29,48,48,102,151,7,1,82.0,9.0,8.0,9.0,9.0,9.0,8.0,10,0,10,0,2.57
9086516,1998,3778,0,543,890,2,25,8,138,4.0,4.0,2,7,7,22.3572,114.24803999999999,34,2,2,1.0,1.0,1.0,10,488.0,1,1125,0,30,60,90,365,52,0,0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,4,1,3,0,0.86
9097272,309,3128,0,173,6,4,1,28,99,4.0,4.0,2,0,0,22.28229,114.15178,5,0,2,1.0,2.0,3.0,10,1772.0,10,1125,0,30,60,90,365,0,0,0,,,,,,,,2,1,1,0,
9107467,282,2378,0,344,761,2,28,1,66,7.0,7.0,2,16,16,22.30771,114.17006,23,2,2,1.0,1.0,2.0,1,394.0,2,1125,0,30,60,90,90,35,0,0,87.0,9.0,9.0,9.0,9.0,10.0,9.0,7,0,7,0,0.58
9138303,2073,3735,2,509,1024,4,1,61,66,28.0,28.0,2,16,16,22.31681,114.16968,23,2,2,1.0,1.0,2.0,22,1158.0,2,1123,0,30,60,90,365,79,1,0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,28,0,28,0,1.31
9141708,296,3303,0,559,825,0,0,67,124,16.0,16.0,2,16,16,22.2963,114.17232,67,3,10,4.0,1.0,10.0,17,177.0,1,1125,0,30,60,90,365,24,0,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,16,0,0,16,0.4
9146098,574,1359,0,543,890,2,25,8,138,4.0,4.0,2,17,17,22.451970000000003,114.02611,12,0,6,1.0,3.0,0.0,4,900.0,1,1125,0,30,60,90,365,0,0,0,,,,,,,,4,1,3,0,
9148203,1073,590,0,465,890,0,12,56,124,28.0,28.0,0,16,16,22.29719,114.17017,23,2,1,1.0,1.0,1.0,10,329.0,5,1125,0,30,60,90,180,45,0,0,93.0,10.0,9.0,9.0,9.0,10.0,9.0,7,1,5,0,0.76
9175943,6800,2441,0,540,890,1,56,67,138,8.0,8.0,2,16,16,22.32179,114.1691,23,2,2,1.0,1.0,1.0,6,450.0,1,1125,0,30,60,90,365,5,0,0,96.0,10.0,10.0,9.0,10.0,10.0,9.0,8,0,8,0,0.08
9196789,2365,3724,3,560,532,4,1,47,40,15.0,15.0,0,16,16,22.30269,114.17148999999999,5,0,16,4.0,4.0,10.0,26,1659.0,1,1125,0,29,59,89,364,44,0,0,83.0,8.0,8.0,9.0,9.0,9.0,9.0,3,3,0,0,0.75
9220976,5498,1430,0,576,929,2,45,1,124,6.0,6.0,2,16,16,22.29767,114.17165,49,2,3,1.0,1.0,0.0,19,400.0,2,1125,0,30,60,90,365,40,5,0,89.0,9.0,9.0,9.0,10.0,10.0,9.0,5,0,5,0,0.73
9286443,3951,2538,2,461,363,4,1,1,66,37.0,37.0,2,16,16,22.3159,114.16986000000001,54,2,3,1.0,1.0,2.0,17,272.0,1,300,0,30,57,76,351,141,2,0,87.0,9.0,9.0,9.0,9.0,10.0,9.0,42,0,25,0,2.42
9301065,1076,3736,2,509,1024,4,1,61,66,28.0,28.0,2,16,16,22.31681,114.16968,23,2,2,1.0,1.0,1.0,28,1029.0,2,1123,0,6,29,59,334,50,3,0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,28,0,28,0,0.84
9301329,1083,3737,2,509,1024,4,1,61,66,28.0,28.0,2,16,16,22.31681,114.16968,23,2,2,1.0,1.0,1.0,22,1157.0,2,1123,0,30,60,90,365,111,2,0,89.0,9.0,9.0,10.0,10.0,10.0,9.0,28,0,28,0,1.85
9351926,3077,3574,0,579,426,3,1,63,138,0.0,0.0,2,2,2,22.2422,113.98078000000001,12,0,6,2.5,4.0,4.0,25,2171.0,7,28,0,4,4,4,44,24,12,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.42
9370594,6686,275,0,533,890,3,1,67,138,2.0,2.0,2,1,1,22.28877,114.19505,23,2,2,1.0,1.0,1.0,4,691.0,1,1125,0,0,0,0,0,0,0,0,,,,,,,,2,0,2,0,
